itemId,count,title,percentage
1395,598,Tin Men (1987),98.0327868852459
5647,229,Item 5647,37.540983606557376
3066,226,Tora! Tora! Tora! (1970),37.049180327868854
8833,222,Vanity Fair (2004),36.39344262295082
5670,213,Comedian (2002),34.91803278688524
2795,210,National Lampoon's Vacation (1983),34.42622950819672
6542,208,"Cuckoo, The (Kukushka) (2002)",34.0983606557377
3611,191,Item 3611,31.311475409836063
2256,189,Parasite (1982),30.983606557377048
3126,179,Item 3126,29.34426229508197
5218,164,Ice Age (2002),26.885245901639344
2793,145,"American Werewolf in Paris, An (1997)",23.770491803278688
281,98,Nobody's Fool (1994),16.065573770491802
4261,83,Item 4261,13.60655737704918
5646,54,Valmont (1989),8.852459016393443
3457,28,Item 3457,4.590163934426229
285,9,Beyond Bedlam (1993),1.4754098360655739
3162,3,Simpatico (1999),0.49180327868852464
5056,1,Item 5056,0.16393442622950818
